Bicicleta,Precio,Especificaciones,categoria
Lux World Cup CF 8,"4,649 US$","SRAM GX Eagle AXS Transmission, Fox Factory 32 Step Cast Remote",Bicicleta de Montaña
Exceed CF SLX MVDP,"3,719 US$","Shimano Deore XTR de 12 velocidades, FOX 32 Step-Cast Factory Remote",Bicicleta de Montaña
Neuron CF 9,"3,279 US$","Shimano DEORE XT M8100, FOX 34 Float Performance Elite FIT4",Bicicleta de Montaña
Exceed CF 7,"2,429 US$","Shimano DEORE XT M8100, FOX 32 Step-Cast Performance Elite Remote",Bicicleta de Montaña
Neuron CF 8,"2,519 US$","Shimano SLX de 12 velocidades, FOX 34 Float Performance GRIP",Bicicleta de Montaña
Lux World Cup CF 7,"3,279 US$","Shimano DEORE XT M8100, FOX 32 Step-Cast Performance Elite Remote",Bicicleta de Montaña
Lux World Cup CFR LTD,"6,969 US$","SRAM XX SL Eagle AXS Transmission, Rock Shox SID SL Ultimate 2-Position Remote",Bicicleta de Montaña
Exceed CF SLX CLLCTV,"4,169 US$","SRAM XX1 Eagle AXS, RockShox SID SL Ultimate RaceDay Remote",Bicicleta de Montaña
Grand Canyon 6,899 US$,"Shimano DEORE XT M8100, SR Suntour XCR",Bicicleta de Montaña
Grand Canyon 7,"1,099 US$","SRAM SX Eagle, RockShox Judy Silver",Bicicleta de Montaña
Stoic 4,"1,419 US$","Shimano Deore M6100, ROCKSHOX PIKE SELECT",Bicicleta de Montaña
Stoic 3,"1,049 US$","SRAM SX Eagle, ROCKSHOX 35 Silver TurnKey",Bicicleta de Montaña
Exceed CF 4,"1,249 US$","SRAM SX Eagle, RockShox Recon RL Remote",Bicicleta de Montaña
Exceed CF 6,"1,869 US$","Shimano SLX de 12 velocidades, FOX 32 Rhythm Remote",Bicicleta de Montaña
Spectral Mullet CF 8 CLLCTV,"3,269 US$","SRAM GX Eagle AXS, RockShox Lyrik Select+ RC",Bicicleta de Montaña
Spectral 29 CF 8,"3,549 US$","Shimano DEORE XT M8100, FOX 36 Performance Elite Grip2",Bicicleta de Montaña
